algorithm	topk	visited	nb_entities	nb_individuals	nb_attr_entities	nb_attr_individuals	sigma_entities	sigma_individuals	sigma_quality	nb_dims_agg	Outcomes_covered	nb_patterns	timespent
debunk	10	31890.0	50000	50000	1	1	40	10	0.2	0	129899.86	670.0	44.99741005897522
dsc	10	26636.0	50000	50000	1	1	40	10	0.2	0	7980.0	10.0	113.37387084960938
debunk	10	426976.0	50000	50000	2	1	40	10	0.2	0	104384.67	3192.0	191.29292178153992
dsc	10	253374.0	50000	50000	2	1	40	10	0.2	0	4738.0	10.0	243.65196108818054
debunk	10	790335.0	50000	50000	3	1	40	10	0.2	0	119845.29	4214.0	391.5994699001312
dsc	10	523402.0	50000	50000	3	1	40	10	0.2	0	4738.0	10.0	362.9859628677368
debunk	10	196666.0	50000	50000	1	2	40	10	0.2	0	121643.57	1738.0	151.37821102142334
dsc	10	91904.0	50000	50000	1	2	40	10	0.2	0	2928.0	10.0	645.3810358047485
debunk	10	2712370.0	50000	50000	2	2	40	10	0.2	0	113898.33	8406.0	1406.9329268932343
dsc	10	839702.0	50000	50000	2	2	40	10	0.2	0	5438.0	10.0	1028.60435795784
debunk	10	4925411.0	50000	50000	3	2	40	10	0.2	0	115854.34	11531.0	3318.5441069602966
dsc	10	1703544.0	50000	50000	3	2	40	10	0.2	0	5438.0	10.0	1331.2650899887085
debunk	10	407660.0	50000	50000	1	3	40	10	0.2	0	110375.28	2578.0	256.1949939727783
dsc	10	173171.0	50000	50000	1	3	40	10	0.2	0	2859.0	10.0	1017.607253074646
debunk	10	5611195.0	50000	50000	2	3	40	10	0.2	0	106784.02	12199.0	2762.073905944824
dsc	10	1253884.0	50000	50000	2	3	40	10	0.2	0	3631.0	10.0	1599.8211650848389
debunk	10	10185030.0	50000	50000	3	3	40	10	0.2	0	98694.14	17100.0	6958.56759595871
dsc	10	2670480.0	50000	50000	3	3	40	10	0.2	0	3631.0	10.0	2067.1837821006775
debunk	10	29572.0	50000	50000	1	1	40	10	0.4	0	48647.06	234.0	37.6506462097168
dsc	10	26497.0	50000	50000	1	1	40	10	0.4	0	7980.0	10.0	118.4353551864624
debunk	10	358638.0	50000	50000	2	1	40	10	0.4	0	44524.23	994.0	147.1465609073639
