algorithm	visited	nb_entities	nb_individuals	nb_attr_entities	nb_attr_individuals	sigma_entities	sigma_individuals	sigma_quality	nb_dims_agg	nb_patterns	timespent
debunk	31890.0	50000	50000	1	1	40	10	0.2	0	670.0	34.666078090667725
dsc	34048.0	50000	50000	1	1	40	10	0.2	0	3853.0	145.9109878540039
debunk	426976.0	50000	50000	2	1	40	10	0.2	0	3192.0	178.33001804351807
dsc	498421.0	50000	50000	2	1	40	10	0.2	0	50570.0	757.1649038791656
debunk	790335.0	50000	50000	3	1	40	10	0.2	0	4214.0	378.05898690223694
dsc	887729.0	50000	50000	3	1	40	10	0.2	0	78494.0	1203.5962100028992
debunk	196666.0	50000	50000	1	2	40	10	0.2	0	1738.0	141.71584391593933
dsc	217601.0	50000	50000	1	2	40	10	0.2	0	23858.0	861.6000800132751
debunk	2712370.0	50000	50000	2	2	40	10	0.2	0	8406.0	1398.4512431621552
dsc	3404452.0	50000	50000	2	2	40	10	0.2	0	323052.0	4238.810672044754
debunk	4925411.0	50000	50000	3	2	40	10	0.2	0	11531.0	3018.4964327812195
dsc	5952617.0	50000	50000	3	2	40	10	0.2	0	559940.0	7062.4797439575195
debunk	407660.0	50000	50000	1	3	40	10	0.2	0	2578.0	250.45788502693176
dsc	460686.0	50000	50000	1	3	40	10	0.2	0	48048.0	1408.8315598964691
debunk	5611195.0	50000	50000	2	3	40	10	0.2	0	12199.0	2624.097836971283
dsc	7204694.0	50000	50000	2	3	40	10	0.2	0	655366.0	7017.774204015732
debunk	10185030.0	50000	50000	3	3	40	10	0.2	0	17100.0	6275.865639925003
dsc	12582132.0	50000	50000	3	3	40	10	0.2	0	1000000.0	93066.04729700089
debunk	29572.0	50000	50000	1	1	40	10	0.4	0	234.0	34.123586893081665
dsc	30322.0	50000	50000	1	1	40	10	0.4	0	527.0	118.06571817398071
debunk	358638.0	50000	50000	2	1	40	10	0.4	0	994.0	142.17539501190186
dsc	378489.0	50000	50000	2	1	40	10	0.4	0	4289.0	264.5251932144165
debunk	691347.0	50000	50000	3	1	40	10	0.4	0	1337.0	269.31848883628845
dsc	719920.0	50000	50000	3	1	40	10	0.4	0	6755.0	414.41500306129456
debunk	163494.0	50000	50000	1	2	40	10	0.4	0	542.0	99.25352907180786
dsc	162170.0	50000	50000	1	2	40	10	0.4	0	3273.0	590.6322000026703
debunk	2148688.0	50000	50000	2	2	40	10	0.4	0	2247.0	731.5962419509888
dsc	2172623.0	50000	50000	2	2	40	10	0.4	0	27406.0	1429.8555090427399
debunk	4011609.0	50000	50000	3	2	40	10	0.4	0	3121.0	1469.7273869514465
dsc	4036958.0	50000	50000	3	2	40	10	0.4	0	48219.0	2303.684627056122
debunk	320641.0	50000	50000	1	3	40	10	0.4	0	701.0	174.7962589263916
dsc	319431.0	50000	50000	1	3	40	10	0.4	0	6276.0	1040.7466161251068
debunk	4196942.0	50000	50000	2	3	40	10	0.4	0	2925.0	1409.9659359455109
dsc	4257681.0	50000	50000	2	3	40	10	0.4	0	51827.0	2645.027529001236
debunk	7820355.0	50000	50000	3	3	40	10	0.4	0	4127.0	2869.2087988853455
dsc	7922233.0	50000	50000	3	3	40	10	0.4	0	89372.0	4305.7107808589935
debunk	25375.0	50000	50000	1	1	40	10	0.6	0	10.0	33.60681891441345
dsc	26182.0	50000	50000	1	1	40	10	0.6	0	24.0	112.10863709449768
debunk	267450.0	50000	50000	2	1	40	10	0.6	0	62.0	125.47839713096619
dsc	282260.0	50000	50000	2	1	40	10	0.6	0	113.0	224.01868796348572
debunk	558533.0	50000	50000	3	1	40	10	0.6	0	71.0	234.56051802635193
dsc	580529.0	50000	50000	3	1	40	10	0.6	0	124.0	341.2106258869171
debunk	102735.0	50000	50000	1	2	40	10	0.6	0	22.0	80.76356506347656
dsc	102963.0	50000	50000	1	2	40	10	0.6	0	88.0	563.6914689540863
debunk	1136011.0	50000	50000	2	2	40	10	0.6	0	128.0	457.85824704170227
dsc	1143006.0	50000	50000	2	2	40	10	0.6	0	511.0	1002.7550909519196
debunk	2328027.0	50000	50000	3	2	40	10	0.6	0	177.0	905.3180820941925
dsc	2328911.0	50000	50000	3	2	40	10	0.6	0	838.0	1480.8855731487274
debunk	200313.0	50000	50000	1	3	40	10	0.6	0	23.0	135.92935013771057
dsc	203644.0	50000	50000	1	3	40	10	0.6	0	157.0	1003.5857110023499
debunk	2197999.0	50000	50000	2	3	40	10	0.6	0	175.0	866.6045269966125
dsc	2254399.0	50000	50000	2	3	40	10	0.6	0	1038.0	1857.527281999588
debunk	4500912.0	50000	50000	3	3	40	10	0.6	0	233.0	1723.9045720100403
