quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	50	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	HMT	True	True	False	36000.0	2	104117946.0	44039135.0	30018319.0	3565	8.86	2665.68	2675.01
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	100	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	HMT	True	True	False	36000.0	2	190761756.0	65984079.0	41934963.0	4961	8.68	4028.27	4037.19
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	150	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	HMT	True	True	False	36000.0	2	252833274.0	83631206.0	51283618.0	6336	8.65	5581.95	5590.8
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	200	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	HMT	True	True	False	36000.0	2	326262873.0	98550891.0	57824707.0	7091	8.74	6754.43	6763.35
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	347	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	HMT	True	True	False	36000.0	2	543553452.0	148893112.0	78104105.0	9309	8.71	10811.76	10820.7
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	50	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	ITEMSET	True	True	False	36000.0	2	375982001.0	87274770.0	30018319.0	3565	8.93	3639.23	3648.66
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	100	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	ITEMSET	True	True	False	36000.0	2	1292666428.0	156415951.0	41934963.0	4961	8.67	7124.49	7133.45
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	150	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	ITEMSET	True	True	False	36000.0	2	2377268299.0	227764539.0	51283618.0	6336	8.71	11163.71	11172.69
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	200	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	ITEMSET	True	True	False	36000.0	2	3400229687.0	290190174.0	57824707.0	7091	8.76	14507.21	14516.28
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple'), ('GROUPE_ID', 'simple'), ('NATIONAL_PARTY', 'simple')]	1	347	6	602	0.5	1.0	10.0	10.0	4161	958	958	958	2689794	ITEMSET	True	True	False	36000.0	2	6442265171.0	449792788.0	78104105.0	9309	8.74	25252.64	25261.86
