quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	1	28	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC	False	False	False	36000	1	19808740.0	12026735.0	12026735.0	0	6.92	1684.09	1691.16
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	2	42	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC	False	False	False	36000	1	262431941.0	201624675.0	201624675.0	4	1.59	13259.99	13261.63
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	1	28	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	119784.0	72726.0	72726.0	0	1.62	24.81	26.51
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	2	42	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	1142213.0	864156.0	864156.0	4	2.14	73.76	75.94
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric'), ('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	52450704.0	7289705.0	4282271.0	47	1.56	474.91	476.51
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	1	28	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	114576.0	69564.0	69564.0	0	1.63	24.86	26.51
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	2	42	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	286711.0	237498.0	237498.0	4	2.16	50.16	52.34
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric'), ('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	6222658.0	2162923.0	1565760.0	47	1.59	171.1	172.72
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	1	28	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	114576.0	69564.0	69564.0	0	1.6	25.64	27.28
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	2	42	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	286626.0	237430.0	237430.0	4	2.15	54.49	56.68
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('COMMITTEE', 'simple'), ('VOTE_DATE', 'numeric'), ('PROCEDURE_SUBJECT', 'themes')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	6209517.0	2160923.0	1564711.0	47	1.57	182.06	183.66
