quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric')]	3	336	1	32	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC	False	False	False	36000	1	103780755.0	7325918.0	7325918.0	17	6.96	478.12	485.08
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple')]	3	336	2	52	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC	False	False	False	36000	1	2043286935.0	144230936.0	144230936.0	25	1.55	9331.51	9333.07
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric')]	3	336	1	32	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	3811704.0	1067099.0	630509.0	17	6.86	58.31	65.17
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple')]	3	336	2	52	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	9317275.0	2608482.0	1541262.0	25	1.54	132.46	134.01
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple')]	3	336	3	58	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	21083211.0	5904069.0	3488271.0	39	1.59	300.41	302.02
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	25866885.0	7244950.0	4280296.0	47	1.54	365.85	367.43
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric')]	3	336	1	32	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	744333.0	284095.0	138531.0	17	1.57	22.11	23.69
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple')]	3	336	2	52	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	2038996.0	763296.0	376015.0	25	2.12	52.24	54.36
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple')]	3	336	3	58	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	4821535.0	1796135.0	891618.0	39	1.55	114.23	115.79
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB1	True	True	False	36000	1	6458270.0	2367273.0	1185334.0	47	1.55	149.1	150.67
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric')]	3	336	1	32	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	744333.0	284095.0	138531.0	17	1.59	22.71	24.31
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple')]	3	336	2	52	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	2034793.0	762135.0	375282.0	25	2.15	53.83	55.99
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple')]	3	336	3	58	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	4814864.0	1794229.0	890365.0	39	1.56	120.24	121.81
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED+UB2	True	True	False	36000	2	6450879.0	2365169.0	1183933.0	47	1.57	154.89	156.48
