quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	100	4	114	0.5	40.0	10.0	10.0	100	500	500	500	37873	DSC	False	False	False	36000	1	61548585.0	3537275.0	3537275.0	0	6.54	302.2	308.9
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	149	4	114	0.5	40.0	10.0	10.0	250	500	500	500	94198	DSC	False	False	False	36000	1	368584055.0	24760925.0	24760925.0	0	1.24	1431.4	1432.69
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	200	4	114	0.5	40.0	10.0	10.0	500	500	500	500	187749	DSC	False	False	False	36000	1	744242660.0	49521850.0	49521850.0	0	1.28	3503.26	3504.58
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	270	4	114	0.5	40.0	10.0	10.0	1000	500	500	500	372424	DSC	False	False	False	36000	1	3011432979.0	208560691.0	208560691.0	22	1.4	14792.96	14794.39
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	300	4	114	0.5	40.0	10.0	10.0	1500	500	500	500	553500	DSC	False	False	False	36000	1	7226044643.0	495879297.0	495879296.0	14	1.46	36000.0	36001.5
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	100	4	114	0.5	40.0	10.0	10.0	100	500	500	500	37873	DSC+CLOSED	True	False	False	36000	1	218178.0	17112.0	17112.0	0	6.72	5.45	12.28
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	149	4	114	0.5	40.0	10.0	10.0	250	500	500	500	94198	DSC+CLOSED	True	False	False	36000	1	979662.0	136896.0	111228.0	0	1.25	10.85	12.15
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	200	4	114	0.5	40.0	10.0	10.0	500	500	500	500	187749	DSC+CLOSED	True	False	False	36000	1	1745424.0	265236.0	201066.0	0	1.32	20.7	22.04
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	270	4	114	0.5	40.0	10.0	10.0	1000	500	500	500	372424	DSC+CLOSED	True	False	False	36000	1	5085606.0	1030993.0	744367.0	22	1.43	68.95	70.41
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	300	4	114	0.5	40.0	10.0	10.0	1500	500	500	500	553500	DSC+CLOSED	True	False	False	36000	1	12161623.0	2903975.0	1834475.0	30	1.48	163.92	165.43
