quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	60	0.5	40.0	10.0	10.0	2037	50	50	50	73004	DSC	False	False	False	36000	1	353306386.0	24941976.0	24941976.0	7	6.65	1584.22	1590.88
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	78	0.5	40.0	10.0	10.0	2037	100	100	100	146092	DSC	False	False	False	36000	1	2474003878.0	174882772.0	174882772.0	10	1.9	11383.52	11385.45
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	106	0.5	40.0	10.0	10.0	2037	250	250	250	366376	DSC	False	False	False	36000	1	7742149709.0	547392833.0	547392832.0	41	1.43	36000.0	36001.47
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	60	0.5	40.0	10.0	10.0	2037	50	50	50	73004	DSC+CLOSED	True	False	False	36000	1	634278.0	177765.0	105000.0	7	6.61	10.46	17.08
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	78	0.5	40.0	10.0	10.0	2037	100	100	100	146092	DSC+CLOSED	True	False	False	36000	1	2629609.0	736611.0	435156.0	10	1.31	37.07	38.4
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	106	0.5	40.0	10.0	10.0	2037	250	250	250	366376	DSC+CLOSED	True	False	False	36000	1	16309325.0	4572351.0	2700666.0	41	1.39	231.57	232.98
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	500	500	500	751556	DSC+CLOSED	True	False	False	36000	1	25866885.0	7244950.0	4280296.0	47	1.59	370.51	372.14
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	114	0.5	40.0	10.0	10.0	2037	958	958	958	1334345	DSC+CLOSED	True	False	False	36000	1	30389290.0	8539908.0	5043926.0	161	1.92	454.54	456.49
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	60	0.5	40.0	10.0	10.0	2037	50	50	50	73004	DSC+CLOSED+UB1	True	True	False	36000	1	126331.0	46757.0	23654.0	7	1.27	3.37	4.65
DISAGR_SUMDIFF	MAAD	VECTOR_VALUES	[('PROCEDURE_SUBJECT', 'themes'), ('VOTE_DATE', 'numeric'), ('COMMITTEE', 'simple')]	[('EU_MEMBER_SINCE', 'numeric'), ('CURRENCY', 'simple'), ('SCHENGEN_MEMBER', 'simple'), ('COUNTRY', 'simple')]	3	336	4	78	0.5	40.0	10.0	10.0	2037	100	100	100	146092	DSC+CLOSED+UB1	True	True	False	36000	1	583302.0	215719.0	108614.0	10	1.28	13.78	15.07
