algorithm	nb_random_walks	timebudget	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	sim_score_1	f1_score	precision	recall	timespent_init	timespent	timespent_total
DSC+CLOSED+UB2	30	86400	452078516.0	254744981.0	2175	1.0	1.0	1.0	1.0	8.9	32433.5	32443.51
DSC+SamplingPeers+RandomWalk	30	162.1675	484291.0	517967.0	454	0.6084664208877656	0.651277485072179	0.7413306772329519	0.5807329163449083	8.89	162.19	172.2
DSC+SamplingPeers+RandomWalk	30	324.335	1220503.0	1304404.0	814	0.6835504576067079	0.7031784763524128	0.7581723463174788	0.655623001325987	8.89	324.34	379.51
DSC+SamplingPeers+RandomWalk	30	648.67	2709004.0	2897039.0	1130	0.7235524150084108	0.7341611482115938	0.7770529621257181	0.6957567284601087	8.89	648.67	783.05
DSC+SamplingPeers+RandomWalk	30	1621.6750000000002	7144009.0	7640389.0	1646	0.7761032354068248	0.7787813742266605	0.8048520659812193	0.7543466491422487	8.89	1621.68	1868.92
DSC+SamplingPeers+RandomWalk	30	3243.3500000000004	14523829.0	15530790.0	2004	0.8070706912037717	0.8074043920700864	0.8223133795993289	0.7930263934820723	8.89	3243.35	3661.33
DSC+SamplingPeers+RandomWalk	30	4865.025	21872145.0	23389195.0	2228	0.8231462991105379	0.8228734346468212	0.833845677707374	0.812186200023756	8.89	4865.07	5493.56
DSC+SamplingPeers+RandomWalk	30	6486.700000000001	29205960.0	31232137.0	2394	0.8328733899353616	0.8323980431965555	0.8407019624271023	0.8242565611789355	8.89	6486.7	7351.17
DSC+SamplingPeers+RandomWalk	30	8108.375	36568195.0	39103106.0	2460	0.8402661295650881	0.8396765881004117	0.8480228383079391	0.8314930245042083	8.89	8108.38	9227.91
DSC+SamplingPeers+RandomWalk	30	9730.05	43900731.0	46944356.0	2548	0.845898631166977	0.8453411518293896	0.8518282742772205	0.8389520883417354	8.89	9730.05	11115.21
DSC+SamplingPeers+RandomWalk	30	11351.724999999999	51234040.0	54785466.0	2613	0.8512632390985987	0.8507082094380314	0.8564020389805094	0.8450895912404688	8.89	11351.73	13010.52
DSC+SamplingPeers+RandomWalk	30	12973.400000000001	58548751.0	62607150.0	2648	0.8552530207182619	0.8548184560591975	0.8590580672756226	0.8506204858750934	8.89	12973.4	14915.46
DSC+SamplingPeers+RandomWalk	30	16216.75	73163097.0	78233256.0	2769	0.8611326810347797	0.8608446640798579	0.863195151792652	0.8585069424009643	8.89	16216.75	18446.53
DSC+SamplingPeers+RandomWalk	30	19460.1	87726986.0	93806409.0	2787	0.8660829663311771	0.8659078573287002	0.8673114934854608	0.8645087570534811	8.89	19460.1	21993.98
DSC+SamplingPeers+RandomWalk	30	22703.449999999997	102253988.0	109340877.0	2848	0.8689720004812967	0.8689725484970738	0.8689684582043526	0.8689766388283019	8.89	22703.45	25540.04
DSC+SamplingPeers+RandomWalk	30	25946.800000000003	116793634.0	124887121.0	2890	0.8726039909151619	0.8727008842264127	0.8720111786556465	0.8733916816875756	8.89	25946.8	29090.52
DSC+SamplingPeers+RandomWalk	30	29190.15	131300432.0	140401585.0	2865	0.8773946783037485	0.8774812000488879	0.8768463149709861	0.8781170051765594	8.89	29190.15	32645.72
DSC+SamplingPeers+RandomWalk	30	32433.5	145847520.0	155957992.0	2825	0.8809882730295105	0.8809878868092652	0.8809908576671839	0.880984915971383	8.89	32433.5	36197.43
DSC+SamplingPeers+RandomWalk	30	35676.850000000006	160398003.0	171513657.0	2845	0.8841669403244429	0.884073273857435	0.8847714987243182	0.8833761501416173	8.89	35676.86	39744.28
DSC+SamplingPeers+RandomWalk	30	38920.2	174942592.0	187065554.0	2824	0.886460206093674	0.8865167613091106	0.8860796922822973	0.8869542617273881	8.89	38920.2	43291.48
