quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple')]	2	164	1	10	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	580860.0	523979.0	523979.0	2	0.32	30.29	30.61
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple')]	2	164	2	16	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	3184176.0	2867014.0	2867014.0	10	0.08	164.75	164.84
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	20558928.0	18475116.0	18475116.0	97	0.08	1060.97	1061.06
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple')]	2	164	1	10	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	126384.0	117422.0	117310.0	2	0.08	4.53	4.62
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple')]	2	164	2	16	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	678744.0	629517.0	628880.0	10	0.08	21.31	21.39
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	4218894.0	3893522.0	3889688.0	97	0.12	122.31	122.44
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple')]	2	164	1	10	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	39584.0	38662.0	38662.0	2	0.09	1.97	2.05
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple')]	2	164	2	16	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	296511.0	289635.0	289635.0	10	0.09	12.71	12.81
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	2229894.0	2169544.0	2169541.0	97	0.09	84.73	84.83
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple')]	2	164	1	10	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB2	True	True	False	36000	2	22934.0	22567.0	22567.0	2	0.08	1.87	1.95
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple')]	2	164	2	16	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB2	True	True	False	36000	2	171748.0	168588.0	168588.0	10	0.09	11.86	11.96
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB2	True	True	False	36000	2	1252798.0	1223364.0	1223364.0	97	0.09	75.81	75.91
