quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	55	3	60	0.2	8.0	50.0	50.0	100	943	943	943	4386	DSC	False	False	False	36000	1	152042.0	106973.0	106973.0	0	0.28	2.52	2.82
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	91	3	60	0.2	8.0	50.0	50.0	250	943	943	943	9220	DSC	False	False	False	36000	1	888025.0	679111.0	679111.0	4	0.06	15.74	15.82
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	120	3	60	0.2	8.0	50.0	50.0	500	943	943	943	14541	DSC	False	False	False	36000	1	2056081.0	1678178.0	1678178.0	17	0.06	50.94	51.02
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	138	3	60	0.2	8.0	50.0	50.0	750	943	943	943	18290	DSC	False	False	False	36000	1	3467144.0	2960539.0	2960539.0	18	0.06	103.81	103.88
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	144	3	60	0.2	8.0	50.0	50.0	1000	943	943	943	52879	DSC	False	False	False	36000	1	8008135.0	6908546.0	6908546.0	35	0.07	275.69	275.77
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1500	943	943	943	91453	DSC	False	False	False	36000	1	18862920.0	16953173.0	16953173.0	69	0.11	923.19	923.31
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	20558928.0	18475116.0	18475116.0	97	0.09	1067.64	1067.74
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	55	3	60	0.2	8.0	50.0	50.0	100	943	943	943	4386	DSC+CLOSED	True	False	False	36000	1	68720.0	46738.0	46738.0	0	0.06	1.74	1.81
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	91	3	60	0.2	8.0	50.0	50.0	250	943	943	943	9220	DSC+CLOSED	True	False	False	36000	1	227308.0	175533.0	175533.0	4	0.07	4.29	4.37
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	120	3	60	0.2	8.0	50.0	50.0	500	943	943	943	14541	DSC+CLOSED	True	False	False	36000	1	467059.0	386086.0	386069.0	17	0.06	9.67	9.75
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	138	3	60	0.2	8.0	50.0	50.0	750	943	943	943	18290	DSC+CLOSED	True	False	False	36000	1	675787.0	581528.0	581509.0	18	0.06	14.83	14.9
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	144	3	60	0.2	8.0	50.0	50.0	1000	943	943	943	52879	DSC+CLOSED	True	False	False	36000	1	1545171.0	1351144.0	1349084.0	35	0.07	34.61	34.69
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1500	943	943	943	91453	DSC+CLOSED	True	False	False	36000	1	3828118.0	3516979.0	3513956.0	69	0.09	108.2	108.3
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	4218894.0	3893522.0	3889688.0	97	0.09	120.99	121.09
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	55	3	60	0.2	8.0	50.0	50.0	100	943	943	943	4386	DSC+CLOSED+UB1	True	True	False	36000	1	37434.0	30611.0	30611.0	0	0.06	1.0	1.07
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	91	3	60	0.2	8.0	50.0	50.0	250	943	943	943	9220	DSC+CLOSED+UB1	True	True	False	36000	1	116646.0	103441.0	103441.0	4	0.06	2.86	2.94
