quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	58	0.2	8.0	50.0	50.0	1681	100	100	100	9519	DSC	False	False	False	36000	1	165607.0	148499.0	148499.0	0	0.29	8.94	9.24
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	250	250	250	27061	DSC	False	False	False	36000	1	1550674.0	1394321.0	1394321.0	10	0.06	81.0	81.07
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	500	500	500	55841	DSC	False	False	False	36000	1	5043677.0	4527172.0	4527172.0	8	0.08	264.06	264.14
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	750	750	750	80121	DSC	False	False	False	36000	1	12648112.0	11370391.0	11370391.0	54	0.08	659.93	660.01
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC	False	False	False	36000	1	20558928.0	18475116.0	18475116.0	97	0.09	1077.26	1077.36
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	58	0.2	8.0	50.0	50.0	1681	100	100	100	9519	DSC+CLOSED	True	False	False	36000	1	34587.0	31910.0	31871.0	0	0.06	1.35	1.41
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	250	250	250	27061	DSC+CLOSED	True	False	False	36000	1	324136.0	299950.0	299572.0	10	0.07	10.04	10.12
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	500	500	500	55841	DSC+CLOSED	True	False	False	36000	1	1035289.0	954864.0	953764.0	8	0.08	31.31	31.4
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	750	750	750	80121	DSC+CLOSED	True	False	False	36000	1	2383901.0	2201228.0	2198854.0	54	0.09	71.23	71.33
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED	True	False	False	36000	1	4218894.0	3893522.0	3889688.0	97	0.09	124.08	124.19
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	58	0.2	8.0	50.0	50.0	1681	100	100	100	9519	DSC+CLOSED+UB1	True	True	False	36000	1	3894.0	3843.0	3843.0	0	0.06	0.28	0.35
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	250	250	250	27061	DSC+CLOSED+UB1	True	True	False	36000	1	125530.0	122285.0	122285.0	10	0.06	5.31	5.38
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	500	500	500	55841	DSC+CLOSED+UB1	True	True	False	36000	1	474410.0	462216.0	462182.0	8	0.08	19.2	19.29
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	750	750	750	80121	DSC+CLOSED+UB1	True	True	False	36000	1	1213126.0	1181411.0	1181364.0	54	0.11	47.39	47.51
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_SIMPLE	[('genres', 'themes'), ('releaseDate', 'numeric')]	[('ageGroup', 'simple'), ('gender', 'simple'), ('occupation', 'simple')]	2	164	3	60	0.2	8.0	50.0	50.0	1681	943	943	943	99991	DSC+CLOSED+UB1	True	True	False	36000	1	2229894.0	2169544.0	2169541.0	97	0.09	85.59	85.69
