algorithm	nb_random_walks	timebudget	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	sim_score_1	f1_score	precision	recall	timespent_init	timespent	timespent_total
DSC+CLOSED+UB2	2	3600	20042474.0	20030622.0	2255	1.0	1.0	1.0	1.0	0.52	960.31	961.46
DSC+SamplingPeers+RandomWalk	2	48.0155	768510.0	778084.0	182	0.38841624055129514	0.5021948065925057	0.9174282306539031	0.3457199291549871	0.52	48.02	49.18
DSC+SamplingPeers+RandomWalk	2	96.031	1559752.0	1579410.0	300	0.49053872881809035	0.5903999627748315	0.9349361152037299	0.4314171253078056	0.52	96.03	107.87
DSC+SamplingPeers+RandomWalk	2	192.062	3188405.0	3228632.0	446	0.5777323956849435	0.6582517618880344	0.9440820405344115	0.5052747719142726	0.52	192.06	216.5
DSC+SamplingPeers+RandomWalk	2	288.09299999999996	4817173.0	4877927.0	566	0.6369938602741773	0.7032304129706836	0.9478727848144476	0.5589639395248234	0.52	288.09	329.18
DSC+SamplingPeers+RandomWalk	2	384.124	6437117.0	6518678.0	673	0.674608952409023	0.7294859080124878	0.9460934414456293	0.5935849785191623	0.52	384.12	444.85
DSC+SamplingPeers+RandomWalk	2	480.155	8066929.0	8169048.0	758	0.7023958034809101	0.7494468874643131	0.9461011429269788	0.6204762259642271	0.52	480.16	562.88
DSC+SamplingPeers+RandomWalk	2	576.1859999999999	9705854.0	9828502.0	842	0.7283738443203275	0.7686550918052285	0.9480618419810518	0.6463440021782744	0.52	576.19	682.84
DSC+SamplingPeers+RandomWalk	2	672.2169999999999	11321610.0	11465106.0	907	0.7440090895680228	0.7795875016696033	0.948295282687241	0.6618416495861466	0.52	672.22	804.57
DSC+SamplingPeers+RandomWalk	2	768.248	12955093.0	13118996.0	956	0.756426486712044	0.7888045092723082	0.9501882755920908	0.6742817992755362	0.52	768.25	927.88
DSC+SamplingPeers+RandomWalk	2	864.279	14580506.0	14765082.0	1014	0.7663720781997846	0.7952270670685836	0.9502831691578462	0.6836732550372682	0.52	864.28	1052.01
DSC+SamplingPeers+RandomWalk	2	960.31	16205373.0	16410746.0	1057	0.7762509347804066	0.8026793449688238	0.9516569551828862	0.69403179350971	0.52	960.31	1177.48
DSC+SamplingPeers+RandomWalk	2	1152.3719999999998	19460324.0	19707274.0	1151	0.7939663183268619	0.8155071536868095	0.9509063550905491	0.7138607829321818	0.52	1152.37	1399.91
