id_medic	tags
3400921601916	['12 Syst\xe8me respiratoire', '12.2 MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES', '12.2.4 AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES \xc0 USAGE SYSTEMIQUE', '12.2.4.2 ANTAGONISTES DES RECEPTEURS AUX LEUCOTRI\xc8NES', '12.2.4.2.1 MONTELUKAST', '12.2.4.2.1.1 MONTELUKAST PHR LAB 10 MG CPR 28']
3400921604177	['7 Anti-infectieux (usage syst\xe9miq', '7.4 ANTIVIRAUX A USAGE SYSTEMIQUE', '7.4.1 ANTIVIRAUX A ACTION DIRECTE', '7.4.1.1 NUCLEOSIDES ET NUCLEOTIDES, INHIBITEURS DE LA TRANSCRIPTASE EXCLUS', '7.4.1.1.2 RIBAVIRINE', '7.4.1.1.2.1 RIBAVIRINE ZENTIVA 200 MG CPR 28']
3400921604696	['13 Organes sensoriels', '13.1 MEDICAMENTS OPHTALMOLOGIQUES', '13.1.2 ANTIINFLAMMATOIRES', '13.1.2.2 ANTIINFLAMMATOIRES NON STEROIDIENS', '13.1.2.2.5 BROMFENAC SODIUM SESQUIHYDRATE', '13.1.2.2.5.1 YELLOX 0,9 MG/ML COLLYRE FL 1/5 ML']
3400921608199	"['1 Syst\xe8me digestif et m\xe9tabolisme', ""1.2 MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE"", ""1.2.2 MEDICAMENTS POUR L'ULC\xc8RE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)"", '1.2.2.3 INHIBITEURS DE LA POMPE A PROTONS', '1.2.2.3.5 ESOMEPRAZOLE', '1.2.2.3.5.1 ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 28']"
3400921609080	['8 Antin\xe9oplasiques et agents immu', '8.3 IMMUNOSTIMULANTS', '8.3.1 IMMUNOSTIMULANTS', '8.3.1.2 INTERFERONS', '8.3.1.2.3 INTERFERON BETA-1A', '8.3.1.2.3.1 AVONEX 30 MCG/0,5 ML SOL INJ STYLO 4/0,5 ML']
3400921609370	"['1 Syst\xe8me digestif et m\xe9tabolisme', ""1.2 MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE"", ""1.2.2 MEDICAMENTS POUR L'ULC\xc8RE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)"", '1.2.2.3 INHIBITEURS DE LA POMPE A PROTONS', '1.2.2.3.5 ESOMEPRAZOLE', '1.2.2.3.5.2 ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 14']"
3400921609660	"['1 Syst\xe8me digestif et m\xe9tabolisme', ""1.2 MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE"", ""1.2.2 MEDICAMENTS POUR L'ULC\xc8RE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)"", '1.2.2.3 INHIBITEURS DE LA POMPE A PROTONS', '1.2.2.3.5 ESOMEPRAZOLE', '1.2.2.3.5.3 ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 28']"
3400921610550	['5 Syst\xe8me g\xe9nito-urinaire et horm', '5.1 ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE', '5.1.1 ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES', '5.1.1.1 ANTIBIOTIQUES', '5.1.1.1.1 NYSTATINE EN ASSOCIATION', '5.1.1.1.1.1 POLYGYNAX VIRGO CAPSULE VAGINALE 6']
3400921610840	['3 Syst\xe8me cardio-vasculaire', '3.1 MEDICAMENTS EN CARDIOLOGIE', '3.1.4 VASODILATATEURS EN CARDIOLOGIE', '3.1.4.2 AUTRES VASODILATATEURS EN CARDIOLOGIE', '3.1.4.2.2 NICORANDIL', '3.1.4.2.2.1 NICORANDIL SANDOZ 20 MG CPR 30']
3400921611731	['3 Syst\xe8me cardio-vasculaire', '3.1 MEDICAMENTS EN CARDIOLOGIE', '3.1.4 VASODILATATEURS EN CARDIOLOGIE', '3.1.4.2 AUTRES VASODILATATEURS EN CARDIOLOGIE', '3.1.4.2.2 NICORANDIL', '3.1.4.2.2.2 NICORANDIL SANDOZ 10 MG CPR SEC 30']
3400921612790	['14 Divers', '14.3 MEDICAMENTS POUR DIAGNOSTIC', '14.3.1 AUTRES MEDICAMENTS POUR DIAGNOSTIC', '14.3.1.2 TESTS POUR LES TROUBLES DE LA FERTILITE', '14.3.1.2.1 GONADORELINE', '14.3.1.2.1.1 LHRH FERRING 100 MCG/ML SOL INJ 1/1 ML']
3400921617535	"['3 Syst\xe8me cardio-vasculaire', '3.8 MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE', ""3.8.4 ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION"", ""3.8.4.1 ANTAGONISTES DE L'ANGIOTENSINE II ET DIURETIQUES"", '3.8.4.1.2 VALSARTAN ET DIURETIQUES', '3.8.4.1.2.1 VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 30']"
3400921618075	"['3 Syst\xe8me cardio-vasculaire', '3.8 MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE', ""3.8.4 ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION"", ""3.8.4.1 ANTAGONISTES DE L'ANGIOTENSINE II ET DIURETIQUES"", '3.8.4.1.2 VALSARTAN ET DIURETIQUES', '3.8.4.1.2.2 VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 90']"
3400921619195	"['3 Syst\xe8me cardio-vasculaire', '3.8 MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE', ""3.8.4 ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION"", ""3.8.4.1 ANTAGONISTES DE L'ANGIOTENSINE II ET DIURETIQUES"", '3.8.4.1.2 VALSARTAN ET DIURETIQUES', '3.8.4.1.2.3 VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 30']"
3400921619546	"['3 Syst\xe8me cardio-vasculaire', '3.8 MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE', ""3.8.4 ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION"", ""3.8.4.1 ANTAGONISTES DE L'ANGIOTENSINE II ET DIURETIQUES"", '3.8.4.1.2 VALSARTAN ET DIURETIQUES', '3.8.4.1.2.4 VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 90']"
