tag	name	label
1	A	Système digestif et métabolisme
1.1	A01	PREPARATIONS STOMATOLOGIQUES
1.1.1	A01A	PREPARATIONS STOMATOLOGIQUES
1.1.1.1	A01AA	MEDICAMENTS PROPHYLACTIQUES ANTICARIES
1.1.1.1.1	A01AA01	SODIUM FLUORURE
1.1.1.1.1.1	3400931911999	ZYMAFLUOR 0,25MG CPR 200
1.1.1.1.1.2	3400932742417	ZYMAFLUOR 1MG CPR 100
1.1.1.1.1.3	3400933542245	ZYMAFLUOR 1,14MG/ML SOL BUV GTTE 1/20 ML
1.1.1.1.1.4	3400933616786	FLUOREX 1MG/1ML SOL BUV 1/30 ML
1.1.1.1.1.5	3400934089480	ZYMAFLUOR 0,50MG CPR 100
1.1.1.1.1.6	3400934089541	ZYMAFLUOR 0,75MG CPR 100
1.1.1.1.2	A01AA02	SODIUM MONOFLUOROPHOSPHATE
1.1.1.1.2.1	3400932409860	FLUOCARIL BIFLUORE 2000 GEL DENTAIRE 1/250 ML
1.1.1.1.3	A01AA51	SODIUM FLUORURE EN ASSOCIATION
1.1.1.1.3.1	3400934780509	ZYMADUO 150UI SOL BUV 1/12 ML
1.1.1.1.3.2	3400934810695	ZYMADUO 300UI SOL BUV 1/12 ML
1.1.1.1.3.3	3400935718495	FLUOSTEROL SOL BUV 1/22,5 ML
1.1.1.2	A01AB	ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL
1.1.1.2.1	A01AB03	CHLORHEXIDINE
1.1.1.2.1.1	3400933728489	PREXIDINE 0,12% SOL PR BDB FL 200ML 1/200 ML
1.1.1.2.1.2	3400934464171	PAROEX 0,12 % SOL BAIN DE BOUCHE 1/300 ML
1.1.1.2.2	A01AB09	MICONAZOLE
1.1.1.2.2.1	3400932680689	DAKTARIN 2% GEL BUCCAL 1/40 G
1.1.1.2.2.2	3400934830808	DAKTARIN 2 P. 100 GEL TUBE 1/80 G
1.1.1.2.2.3	3400937723640	LORAMYC 50 MG CPR 14
1.1.1.2.3	A01AB11	DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES)
1.1.1.2.3.1	3400922257204	ELUDRILPERIO 0,2 % SOL BAIN DE BOUCHE 1/200 ML
1.1.1.2.3.2	3400934680861	CHLORHEXIDINE/CHLOROBUTANOL APIFRANCE 0,5 ML/0,5 G SOL BAIN DE BOUCHE 1/90 ML
1.1.1.2.3.3	3400934681462	CHLORHEXIDINE/CHLOROBUTANOL ZENTIVA 0,5 ML/0,5G POUR 100ML FLACON 90 ML
1.1.1.2.3.4	3400934681813	CHLORHEXIDINE/CHLOROBUTANOL ARROW 0,5ML/0,5G POUR 100ML FLACON 90 ML
1.1.1.2.3.5	3400934682124	CHLORHEXIDINE/CHLOROBUTANOL PHR LAB 0,5 ML/0,5G POUR 100ML FLACON 90 ML
1.1.1.2.3.6	3400936895744	ELUDRIL 0,5 ML/0,5 G POUR 100 ML FLACON 90 ML
1.1.1.2.3.7	3400939409627	CHLORHEXIDINE/CHLOROBUTANOL BIOGARAN 0,5 ML/0,5 G pour 100 ml,sol bain bouche 90 ml
1.1.1.2.3.8	3400939409917	CHLORHEXIDINE/CHLOROBUTANOL TEVA 0,5 ML/0,5 G pour 100 ml,sol bain bouche 90 ml
1.1.1.2.3.9	3400939410456	CHLORHEXIDINE/CHLOROBUTANOL RATIOPHARM 0,5 ML/0,5 G/ 100 ML SOL BAIN BOUCHE FL 1/90 ML
1.1.1.2.3.10	3400939410807	CHLORHEXIDINE/CHLOROBUTANOL EG 0,5 ML/0,5 G pour 100 ml,sol bain bouche 90 ml
1.1.1.2.3.11	3400939412467	CHLORHEXIDINE/CHLOROBUTANOL SANDOZ 0,5 ML/0,5 G pour 100 ml,sol bain bouche 90 ml
1.1.1.3	A01AD	AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL
