quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	791	3	36	5.0	5.0	1.0	1.0	500	78	78	78	17265	DSC	False	False	False	36000.0	1	16943621.0	1141483.0	1141483.0	1109	1.97	115.02	117.13
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	1427	3	36	5.0	5.0	1.0	1.0	1000	78	78	78	34876	DSC	False	False	False	36000.0	1	36463036.0	2209293.0	2209293.0	1769	1.95	251.83	253.9
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	6632	3	36	5.0	5.0	1.0	1.0	5000	78	78	78	212395	DSC	False	False	False	36000.0	1	231066040.0	11316527.0	11316527.0	8455	3.27	3935.15	3939.79
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	11851	3	36	5.0	5.0	1.0	1.0	10000	78	78	78	419673	DSC	False	False	False	36000.0	1	386910028.0	15510634.0	15510634.0	11239	6.23	8645.25	8655.6
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC	False	False	False	36000.0	1	437660369.0	16212846.0	16212846.0	11653	7.96	9831.81	9845.67
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	791	3	36	5.0	5.0	1.0	1.0	500	78	78	78	17265	DSC+CLOSED	True	False	False	36000.0	1	12490775.0	834486.0	834486.0	1109	1.92	64.92	66.93
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	1427	3	36	5.0	5.0	1.0	1.0	1000	78	78	78	34876	DSC+CLOSED	True	False	False	36000.0	1	26496249.0	1551442.0	1551442.0	1769	1.97	143.1	145.17
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	6632	3	36	5.0	5.0	1.0	1.0	5000	78	78	78	212395	DSC+CLOSED	True	False	False	36000.0	1	188913961.0	9449685.0	9449685.0	8455	3.31	3370.2	3374.83
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	11851	3	36	5.0	5.0	1.0	1.0	10000	78	78	78	419673	DSC+CLOSED	True	False	False	36000.0	1	336747768.0	13372062.0	13372062.0	11239	6.25	7899.78	7910.13
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED	True	False	False	36000.0	1	385412984.0	13969525.0	13969525.0	11653	7.97	9070.49	9084.34
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	791	3	36	5.0	5.0	1.0	1.0	500	78	78	78	17265	DSC+CLOSED+UB2	True	True	False	36000.0	2	8769394.0	784600.0	784600.0	1109	1.96	58.28	60.29
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	1427	3	36	5.0	5.0	1.0	1.0	1000	78	78	78	34876	DSC+CLOSED+UB2	True	True	False	36000.0	2	18886581.0	1428369.0	1428369.0	1769	2.0	130.49	132.58
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	6632	3	36	5.0	5.0	1.0	1.0	5000	78	78	78	212395	DSC+CLOSED+UB2	True	True	False	36000.0	2	133730601.0	8793908.0	8793908.0	8455	3.33	3293.81	3298.44
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	11851	3	36	5.0	5.0	1.0	1.0	10000	78	78	78	419673	DSC+CLOSED+UB2	True	True	False	36000.0	2	266111752.0	12594252.0	12594252.0	11239	6.25	7819.77	7830.11
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	310255909.0	13163422.0	13163422.0	11653	7.98	8987.16	9001.01
