quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	22	5.0	5.0	1.0	1.0	12219	10	10	10	31298	DSC	False	False	False	36000.0	1	4806221.0	186309.0	186309.0	69	7.59	36.93	50.51
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	32	5.0	5.0	1.0	1.0	12219	25	25	25	123739	DSC	False	False	False	36000.0	1	86889153.0	3309957.0	3309957.0	1183	7.52	672.07	685.4
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	50	50	50	321034	DSC	False	False	False	36000.0	1	271391818.0	10008321.0	10008321.0	8067	7.76	3673.82	3687.43
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC	False	False	False	36000.0	1	437660369.0	16212846.0	16212846.0	11653	7.91	9806.74	9820.56
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	22	5.0	5.0	1.0	1.0	12219	10	10	10	31298	DSC+CLOSED	True	False	False	36000.0	1	1997047.0	77100.0	77100.0	69	7.49	17.07	30.5
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	32	5.0	5.0	1.0	1.0	12219	25	25	25	123739	DSC+CLOSED	True	False	False	36000.0	1	25896162.0	982144.0	982144.0	1183	7.58	193.26	206.65
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	50	50	50	321034	DSC+CLOSED	True	False	False	36000.0	1	172297270.0	6254083.0	6254083.0	8071	7.78	2445.56	2459.19
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED	True	False	False	36000.0	1	385412984.0	13969525.0	13969525.0	11653	7.93	9156.67	9170.49
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	22	5.0	5.0	1.0	1.0	12219	10	10	10	31298	DSC+CLOSED+UB2	True	True	False	36000.0	2	1507794.0	72823.0	72823.0	69	7.52	15.99	29.3
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	32	5.0	5.0	1.0	1.0	12219	25	25	25	123739	DSC+CLOSED+UB2	True	True	False	36000.0	2	19576311.0	910910.0	910910.0	1183	7.59	186.93	200.33
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	50	50	50	321034	DSC+CLOSED+UB2	True	True	False	36000.0	2	137896410.0	5890556.0	5890556.0	8071	7.79	2410.29	2423.92
RATIO	similarity_candidates	MEDICAMENTS	[('tags', 'themes')]	[('sexe', 'simple'), ('region', 'simple'), ('age', 'simple')]	1	14094	3	36	5.0	5.0	1.0	1.0	12219	78	78	78	496276	DSC+CLOSED+UB2	True	True	False	36000.0	2	310255909.0	13163422.0	13163422.0	11653	7.92	9076.72	9090.54
