ind	context	g1	g2	|subgroup(context)|	|subgroup(g1)|	|subgroup(g2)|	|ratings(c,g1,g2)|	ref_sim	pattern_sim	quality
1	['9.5.1 MEDICAMENTS AGISSANT SUR LA STRUCTURE OSSEUSE ET LA MINERALISATION'] 	* 	Men 	96	78	39	3451	1.16	4.30	3.70
2	['9.4.1 ANTIGOUTTEUX'] 	Men 	Women 	42	39	39	1940	0.76	2.97	3.91
3	['8.2.2.3 INHIBITEURS ENZYMATIQUES'] 	* 	Men 	14	78	39	403	1.16	273.17	235.04
4	['8.2.2.1 ANTI-ESTROGENES'] 	* 	Men 	13	78	39	436	1.16	18.21	15.67
5	['8.2 THERAPEUTIQUE ENDOCRINE'] 	Women 	Men 	43	39	39	1330	1.32	4.76	3.62
6	['7.4.1.4 INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDES'] 	Men 	Women 	11	39	39	277	0.76	2.85	3.76
7	['7.4.1.1.2 RIBAVIRINE'] 	* 	Women 	10	78	39	59	0.88	3.92	4.44
8	['7.1.10.4.1 FOSFOMYCINE'] 	* 	Men 	14	78	39	856	1.16	8.81	7.58
9	['7.1.10 AUTRES ANTIBACTERIENS'] 	Women 	Men 	22	39	39	1272	1.32	6.18	4.69
10	['6.3 MEDICAMENTS DE LA THYROIDE'] 	Women 	Men 	31	39	39	1981	1.32	5.13	3.89
11	['6.1.3 HORMONES HYPOTHALAMIQUES'] 	Women 	Men 	14	39	39	376	1.32	6.91	5.25
12	['5.4 MEDICAMENTS UROLOGIQUES'] 	* 	Women 	71	78	39	3345	0.88	3.36	3.81
13	['5.3 HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE'] 	* 	Men 	118	78	39	4531	1.16	24.37	20.96
14	['5.2 AUTRES MEDICAMENTS GYNECOLOGIQUES'] 	Women 	Men 	10	39	39	417	1.32	6.11	4.64
15	['5.1.1 ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES'] 	* 	Men 	17	78	39	842	1.16	185.97	160.01
16	['3.3.4.1.2 EPLERENONE'] 	Men 	Women 	27	39	39	938	0.76	4.24	5.58
17	['10.7.2 MEDICAMENTS UTILISES DANS LES PHENOM\xc8NES DE DEPENDANCE'] 	Men 	Women 	138	39	39	4195	0.76	3.48	4.59
18	['10.6.2.1.1 METHYLPHENIDATE'] 	Men 	Women 	16	39	39	637	0.76	3.53	4.65
19	['10.2.3.2.2 NARATRIPTAN'] 	Women 	Men 	18	39	39	731	1.32	4.90	3.72
20	['1.11.1 CALCIUM'] 	Women 	Men 	54	39	39	3174	1.32	5.21	3.96
