id	label
	whole
01	Active Life
01.01	Airsoft
01.02	Amateur Sports Teams
01.03	Amusement Parks
01.04	Aquariums
01.05	Archery
01.06	ATV Rentals/Tours
01.07	Badminton
01.08	Baseball Fields
01.09	Basketball Courts
01.10	Bathing Area
01.11	Batting Cages
01.12	Beach Equipment Rentals
01.13	Beaches
01.14	Beach Volleyball
01.15	Bicycle Paths
01.16	Bike Parking
01.17	Bike Rentals
01.18	Boating
01.19	Bobsledding
01.20	Bocce Ball
01.21	Bowling
01.22	Bubble Soccer
01.23	Bungee Jumping
01.24	Carousels
01.25	Challenge Courses
01.26	Climbing
01.27	Cycling Classes
01.28	Day Camps
01.29	Disc Golf
01.30	Diving
01.30.01	Free Diving
01.30.02	Scuba Diving
01.31	Escape Games
01.32	Experiences
01.33	Fencing Clubs
01.34	Fishing
01.35	Fitness & Instruction
01.35.01	Aerial Fitness
01.35.02	Barre Classes
01.35.03	Boot Camps
01.35.04	Boxing
01.35.05	Cardio Classes
01.35.06	Dance Studios
01.35.07	EMS Training
01.35.08	Golf Lessons
01.35.09	Gyms
01.35.09.01	Circuit Training Gyms
01.35.09.02	Interval Training Gyms
01.35.10	Trainers
01.35.11	Martial Arts
01.35.11.01	Brazilian Jiu-jitsu
01.35.11.02	Chinese Martial Arts
01.35.11.03	Karate
01.35.11.04	Kickboxing
01.35.11.05	Muay Thai
01.35.11.06	Taekwondo
01.35.12	Meditation Centers
01.35.13	Pilates
01.35.14	Qi Gong
01.35.15	Self-defense Classes
01.35.16	Swimming Lessons/Schools
01.35.17	Tai Chi
01.35.18	Yoga
01.36	Flyboarding
01.37	Soccer
01.38	Gliding
01.39	Go Karts
01.40	Golf
01.41	Gun/Rifle Ranges
01.42	Gymnastics
01.43	Handball
01.44	Hang Gliding
01.45	Hiking
01.46	Horseback Riding
01.47	Horse Racing
01.48	Hot Air Balloons
01.49	Indoor Playcentre
01.50	Jet Skis
01.51	Kids Activities
01.52	Kiteboarding
01.53	Lakes
01.54	Laser Tag
01.55	Lawn Bowling
01.56	Leisure Centers
01.57	Mini Golf
01.58	Mountain Biking
01.59	Nudist
01.60	Paddleboarding
01.61	Paintball
01.62	Parasailing
01.63	Parks
01.63.01	Dog Parks
01.63.02	Skate Parks
01.64	Playgrounds
01.65	Public Plazas
01.66	Races & Competitions
01.67	Racing Experience
01.68	Rafting/Kayaking
01.69	Recreation Centers
01.70	Rock Climbing
01.71	Sailing
01.72	Scavenger Hunts
01.73	Scooter Rentals
01.74	Senior Centers
01.75	Skating Rinks
01.76	Skiing
01.77	Skydiving
01.78	Sledding
01.79	Snorkeling
01.80	Sport Equipment Hire
01.81	Sports Clubs
01.82	Squash
01.83	Summer Camps
01.84	Surfing
01.85	Surf Lifesaving
01.86	Swimming Pools
01.87	Tennis
01.88	Trampoline Parks
01.89	Tubing
01.90	Volleyball
01.91	Water Parks
01.92	Wildlife Hunting Ranges
01.93	Ziplining
01.94	Zoos
01.94.01	Petting Zoos
01.95	Zorbing
02	Arts & Entertainment
02.01	Arcades
02.02	Betting Centers
02.03	Bingo Halls
02.04	Cabaret
02.05	Casinos
02.06	Castles
02.07	Choirs
02.08	Country Clubs
02.09	Cultural Center
02.10	Farms
02.10.01	Attraction Farms
02.10.02	Pick Your Own Farms
02.10.03	Ranches
02.11	Festivals
02.11.01	Fun Fair
02.11.02	General Festivals
02.11.03	Trade Fairs
02.11.04	Christmas Markets
02.12	Art Galleries
02.13	Botanical Gardens
02.14	Haunted Houses
02.15	Jazz & Blues
02.16	LAN Centers
02.17	Mah Jong Halls
02.18	Marching Bands
02.19	Cinema
02.19.01	Drive-In Theater
02.19.02	Outdoor Movies
02.20	Museums
02.20.01	Art Museums
02.20.02	Children's Museums
02.21	Music Venues
02.22	Observatories
02.23	Opera & Ballet
02.24	Pachinko
02.25	Paint & Sip
02.26	Planetarium
02.27	Psychics & Astrologers
02.27.01	Psychic Mediums
02.28	Race Tracks
02.29	Rodeo
02.30	Social Clubs
02.30.01	Veterans Organizations
02.31	Professional Sports Teams
02.32	Stadiums & Arenas
02.33	Street Art
02.34	Studio Taping
02.35	Tablao Flamenco
02.36	Performing Arts
02.37	Ticket Sales
02.38	Wineries
02.38.01	Wine Tasting Room
03	Automotive
03.01	Aircraft Dealers
03.02	Aircraft Repairs
03.03	Auto Detailing
03.04	Auto Customization
03.05	Car Inspectors
03.06	Auto Electric Services
03.07	Auto Glass Services
03.07.01	Car Window Tinting
03.08	Auto Loan Providers
03.09	Auto Parts & Supplies
03.10	Auto Repair
03.10.01	DIY Auto Shop
03.11	Auto Security
03.12	Auto Upholstery
03.13	Boat Dealers
03.14	Body Shops
03.15	Car Dealers
03.16	Car Auctions
03.17	Car Brokers
03.18	Car Buyers
03.19	Car Share Services
03.20	Car Wash
03.21	EV Charging Stations
03.22	Fuel Docks
03.23	Gas Stations
03.24	Hybrid Car Repair
03.25	Interlock Systems
03.26	Marinas
03.27	Mobile Dent Repair
03.28	Mobility Equipment Sales & Services
03.29	Motorsport Vehicle Dealers
03.30	Motorcycle Dealers
03.31	Motorcycle Repair
03.32	Motorsport Vehicle Repairs
03.33	Oil Change Stations
03.34	Parking
03.35	Registration Services
03.36	Roadside Assistance
03.37	RV Dealers
03.38	RV Repair
03.39	Service Stations
03.40	Gas & Service Stations
03.41	Smog Check Stations
03.42	Car Stereo Installation
03.43	Tires
03.44	Towing
03.45	Trailer Dealers
03.46	Trailer Rental
03.47	Trailer Repair
03.48	Transmission Repair
03.49	Truck Rental
03.50	Commercial Truck Dealers
03.51	Commercial Truck Repair
03.52	Used Car Dealers
03.53	Vehicle Shipping
03.54	Vehicle Wraps
03.55	Wheel & Rim Repair
03.56	Windshield Installation & Repair
04	Beauty & Spas
04.01	Acne Treatment
04.02	Barbers
04.03	Cosmetics & Beauty Supply
04.04	Erotic Massage
04.05	Eyebrow Services
04.06	Eyelash Service
04.07	Hair Salons
04.07.01	Blow Dry/Out Services
04.07.02	Hair Extensions
04.07.03	Hair Stylists
04.07.04	Men's Hair Salons
04.08	Hair Extensions
04.09	Hair Loss Centers
04.10	Hair Removal
04.10.01	Laser Hair Removal
04.10.02	Sugaring
04.10.03	Threading Services
04.10.04	Waxing
04.11	Hot Springs
04.12	Makeup Artists
04.13	Massage
04.14	Medical Spas
04.15	Nail Salons
04.15.01	Nail Technicians
04.16	Perfume
04.17	Permanent Makeup
04.18	Piercing
04.19	Rolfing
04.20	Skin Care
04.21	Day Spas
04.22	Tanning
04.22.01	Spray Tanning
04.22.02	Tanning Beds
04.23	Tattoo
04.24	Teeth Whitening
05	Bicycles
05.01	Bike Associations
05.02	Bike Repair
05.03	Bike Shop
05.04	Special Bikes
06	Education
06.01	Adult Education
06.02	Art Classes
06.03	College Counseling
06.04	Colleges & Universities
06.05	Educational Services
06.06	Elementary Schools
06.07	Middle Schools & High Schools
06.08	Montessori Schools
06.09	Preschools
06.10	Private Schools
06.11	Private Tutors
06.12	Religious Schools
06.13	Special Education
06.14	Specialty Schools
06.14.01	Art Schools
06.14.02	Bartending Schools
06.14.03	Cheerleading
06.14.04	Childbirth Education
06.14.05	Circus Schools
06.14.06	Cooking Schools
06.14.07	Cosmetology Schools
06.14.08	CPR Classes
06.14.09	Dance Schools
06.14.10	Drama Schools
06.14.11	Driving Schools
06.14.12	DUI Schools
06.14.13	Firearm Training
06.14.14	First Aid Classes
06.14.15	Flight Instruction
06.14.16	Food Safety Training
06.14.17	Language Schools
06.14.18	Massage Schools
06.14.19	Nursing Schools
06.14.20	Parenting Classes
06.14.21	Pole Dancing Classes
06.14.22	Samba Schools
06.14.23	Ski Schools
06.14.24	Surf Schools
06.14.25	Swimming Lessons/Schools
06.14.26	Traffic Schools
06.14.27	Vocational & Technical School
06.15	Tasting Classes
06.15.01	Cheese Tasting Classes
06.15.02	Wine Tasting Classes
06.16	Test Preparation
06.17	Tutoring Centers
06.18	Waldorf Schools
07	Event Planning & Services
07.01	Bartenders
07.02	Boat Charters
07.03	Caricatures
07.04	Caterers
07.05	Clowns
07.06	DJs
07.07	Party & Event Planning
07.08	Face Painting
07.09	Game Truck Rental
07.10	Golf Cart Rentals
07.11	Henna Artists
07.12	Hotels
07.12.01	Agriturismi
07.12.02	Mountain Huts
07.12.03	Pensions
07.12.04	Residences
07.12.05	Rest Stops
07.12.06	Ryokan
07.13	Magicians
07.14	Mohels
07.15	Musicians
07.16	Officiants
07.17	Party Bike Rentals
07.18	Party Bus Rentals
07.19	Party Characters
07.20	Party Equipment Rentals
07.20.01	Bounce House Rentals
07.21	Party Supplies
07.22	Personal Chefs
07.23	Photo Booth Rentals
07.24	Photographers
07.24.01	Boudoir Photography
07.24.02	Event Photography
07.24.03	Session Photography
07.25	Silent Disco
07.26	Sommelier Services
07.27	Cards & Stationery
07.28	Team Building Activities
07.29	Trivia Hosts
07.30	Valet Services
07.31	Venues & Event Spaces
07.32	Videographers
07.33	Wedding Planning
07.34	Wedding Chapels
08	Financial Services
08.01	Banks & Credit Unions
08.02	Business Financing
08.03	Currency Exchange
08.04	Debt Relief Services
08.05	Financial Advising
08.06	Installment Loans
08.07	Insurance
08.07.01	Auto Insurance
08.07.02	Home & Rental Insurance
08.07.03	Life Insurance
08.08	Investing
08.09	Mortgage Lenders
08.10	Check Cashing/Pay-day Loans
08.11	Tax Services
08.12	Title Loans
09	Food
09.01	Acai Bowls
09.02	Backshop
09.03	Bagels
09.04	Bakeries
