quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	50	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	772305.0	364892.0	355945.0	4	11.8	198.86	211.91
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	100	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	1658706.0	589929.0	560641.0	8	11.33	251.76	264.61
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	150	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	3391638.0	703686.0	660760.0	13	11.29	273.42	286.45
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	200	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	6411471.0	961116.0	873475.0	22	11.42	313.48	327.13
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	300	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	10409159.0	1398112.0	1249505.0	26	11.38	377.36	391.68
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	400	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	17117970.0	2548379.0	2303741.0	27	11.31	506.58	522.6
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	600	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	20847927.0	2986581.0	2688043.0	34	11.34	570.29	587.72
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	800	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	26118832.0	3372991.0	3042095.0	60	11.35	632.83	651.73
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	1000	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	34534579.0	4468998.0	4025012.0	73	11.38	781.04	803.2
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	1	1175	3	16	0.5	5.0	1.0	1.0	127162	18	18	18	745242	HMT	True	True	False	36000.0	2	37283685.0	4805910.0	4319050.0	85	11.25	830.05	853.24
