quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple')]	2	1010	1	8	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC	False	False	False	36000	1	4281682.0	131292.0	131292.0	1	6.97	447.13	454.11
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple')]	2	1010	2	14	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC	False	False	False	36000	1	25588964.0	766911.0	766911.0	6	0.61	2816.57	2817.18
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC	False	False	False	36000	1	236729138.0	6841410.0	6841410.0	72	0.6	27532.55	27533.16
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple')]	2	1010	1	8	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED	True	False	False	36000	1	2048274.0	104983.0	93874.0	1	0.63	12.17	12.81
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple')]	2	1010	2	14	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED	True	False	False	36000	1	12325850.0	617566.0	553048.0	6	0.62	64.01	64.64
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED	True	False	False	36000	1	114858310.0	5579288.0	5013203.0	72	0.62	572.77	573.39
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple')]	2	1010	1	8	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB1	True	True	False	36000	1	306511.0	41552.0	37762.0	1	0.61	4.27	4.88
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple')]	2	1010	2	14	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB1	True	True	False	36000	1	2637641.0	353408.0	321435.0	6	0.61	27.02	27.63
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB1	True	True	False	36000	1	31585530.0	3873165.0	3522975.0	72	0.62	280.88	281.51
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple')]	2	1010	1	8	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB2	True	True	False	36000	2	68585.0	15793.0	14796.0	1	0.63	2.8	3.43
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple')]	2	1010	2	14	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB2	True	True	False	36000	2	553864.0	130665.0	122275.0	6	0.6	14.77	15.38
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED+UB2	True	True	False	36000	2	7651859.0	1659275.0	1543049.0	72	0.61	152.94	153.56
