quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	184	3	22	0.5	5.0	1.0	1.0	100	18	18	18	642	DSC	False	False	False	36000	1	305904.0	13197.0	13197.0	0	6.83	1.97	8.81
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	503	3	22	0.5	5.0	1.0	1.0	1000	18	18	18	6170	DSC	False	False	False	36000	1	7887006.0	229058.0	229058.0	1	0.46	59.25	59.72
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	867	3	22	0.5	5.0	1.0	1.0	10000	18	18	18	59341	DSC	False	False	False	36000	1	91872028.0	2625765.0	2625765.0	27	0.56	4181.8	4182.36
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1037	3	22	0.5	5.0	1.0	1.0	30000	18	18	18	175698	DSC	False	False	False	36000	1	253810436.0	7210891.0	7210890.0	70	0.61	36000.01	36000.62
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	184	3	22	0.5	5.0	1.0	1.0	100	18	18	18	642	DSC+CLOSED	True	False	False	36000	1	166647.0	12119.0	11658.0	0	6.89	1.85	8.74
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	503	3	22	0.5	5.0	1.0	1.0	1000	18	18	18	6170	DSC+CLOSED	True	False	False	36000	1	4064194.0	204187.0	190008.0	1	0.47	13.36	13.83
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	867	3	22	0.5	5.0	1.0	1.0	10000	18	18	18	59341	DSC+CLOSED	True	False	False	36000	1	45423594.0	2230154.0	2038581.0	27	0.58	174.54	175.12
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1037	3	22	0.5	5.0	1.0	1.0	30000	18	18	18	175698	DSC+CLOSED	True	False	False	36000	1	137586404.0	6710065.0	6006715.0	70	0.64	702.15	702.8
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1161	3	22	0.5	5.0	1.0	1.0	80000	18	18	18	469072	DSC+CLOSED	True	False	False	36000	1	350564782.0	16957993.0	14937279.0	161	0.85	2777.86	2778.72
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1205	3	22	0.5	5.0	1.0	1.0	127162	18	18	18	745242	DSC+CLOSED	True	False	False	36000	1	546902566.0	26302921.0	22970290.0	235	1.0	5661.14	5662.15
