quality_measure	comparaison_measure	method_aggregation_outcome	attrs_objects	attrs_users	nb_attrs_objects	nb_attrs_objects_in_itemset	nb_attrs_users	nb_attrs_users_in_itemset	quality_threshold	threshold_objects	threshold_nb_users_1	threshold_nb_users_2	nb_objects	nb_users	nb_users_1	nb_users_2	nb_reviews	algorithm	closed	pruning_ub	RandomWalk	timebudget	bound_type	nb_generated_subgroups	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	timespent_init	timespent	timespent_total
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	16	0.5	5.0	1.0	1.0	25000	3	3	3	26622	DSC	False	False	False	36000	1	1977683.0	57408.0	57408.0	0	6.99	240.79	247.78
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	20	0.5	5.0	1.0	1.0	25000	7	7	7	77621	DSC	False	False	False	36000	1	95029417.0	2799705.0	2799705.0	5	0.59	10761.46	10762.06
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	13	13	13	118627	DSC	False	False	False	36000	1	181850665.0	5297915.0	5297915.0	37	0.61	20864.67	20865.28
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC	False	False	False	36000	1	236729138.0	6841410.0	6841410.0	72	0.61	27377.81	27378.43
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	16	0.5	5.0	1.0	1.0	25000	3	3	3	26622	DSC+CLOSED	True	False	False	36000	1	967026.0	46818.0	42030.0	0	0.58	6.28	6.86
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	20	0.5	5.0	1.0	1.0	25000	7	7	7	77621	DSC+CLOSED	True	False	False	36000	1	20698803.0	1030166.0	922352.0	5	0.61	103.54	104.15
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	13	13	13	118627	DSC+CLOSED	True	False	False	36000	1	77502802.0	3800276.0	3407633.0	37	0.63	380.28	380.92
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	22	0.5	5.0	1.0	1.0	25000	18	18	18	146643	DSC+CLOSED	True	False	False	36000	1	114858310.0	5579288.0	5013203.0	72	0.65	560.65	561.3
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	16	0.5	5.0	1.0	1.0	25000	3	3	3	26622	DSC+CLOSED+UB1	True	True	False	36000	1	99352.0	15128.0	13853.0	0	0.61	2.1	2.71
DISAGR_SUMDIFF	AVG_YELP	AVGRATINGS_PONDERATION	[('categories', 'themes'), ('state', 'simple')]	[('seniority', 'simple'), ('elite', 'simple'), ('friends_network', 'simple')]	2	1010	3	20	0.5	5.0	1.0	1.0	25000	7	7	7	77621	DSC+CLOSED+UB1	True	True	False	36000	1	4225844.0	585565.0	532720.0	5	0.6	41.78	42.38
