algorithm	nb_random_walks	timebudget	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	sim_score_1	f1_score	precision	recall	timespent_init	timespent	timespent_total
DSC+CLOSED+UB2	150	3600	5175228.0	4898520.0	197	1.0	1.0	1.0	1.0	12.18	1361.22	1384.04
DSC+SamplingPeers+RandomWalk	150	68.061	79067.0	80778.0	4	0.07982921216282352	0.1162170425966853	0.9665063509461096	0.06182561543625933	12.53	68.07	91.45
DSC+SamplingPeers+RandomWalk	150	136.122	171833.0	175522.0	14	0.23146896440367531	0.303955521677105	0.9348958177679638	0.18147923878387817	12.53	136.12	159.61
DSC+SamplingPeers+RandomWalk	150	272.244	360212.0	367702.0	17	0.25402953103735276	0.3227737816172038	0.9399026123803756	0.19484251386561985	12.53	272.25	296.07
DSC+SamplingPeers+RandomWalk	150	408.366	551044.0	562460.0	22	0.3028828476808594	0.37246563957417245	0.9297051407220066	0.23288238855951304	12.53	408.43	432.56
DSC+SamplingPeers+RandomWalk	150	544.488	742699.0	757851.0	32	0.38292151003792524	0.4469488852009491	0.9283336612956873	0.29432664282854254	12.53	544.51	569.02
DSC+SamplingPeers+RandomWalk	150	680.61	934843.0	953879.0	42	0.4581486339380772	0.5157523279155999	0.9407515900324861	0.35525866360322866	12.53	680.61	705.78
DSC+SamplingPeers+RandomWalk	150	816.732	1125686.0	1148642.0	45	0.47931898173503806	0.5356177821408316	0.9338464313225947	0.3754929145703677	12.53	816.73	843.21
DSC+SamplingPeers+RandomWalk	150	952.8539999999999	1318031.0	1344938.0	48	0.5041114322446365	0.5589916758566259	0.9421343363882194	0.3973850393568599	12.53	953.31	981.15
DSC+SamplingPeers+RandomWalk	150	1088.976	1509027.0	1539787.0	52	0.5284062802193036	0.5800452260161094	0.9449769903018133	0.41844852933458027	12.53	1088.98	1118.09
DSC+SamplingPeers+RandomWalk	150	1225.098	1701786.0	1736535.0	55	0.5512467653492253	0.6016261501785392	0.9455423436268859	0.44116424349505606	12.53	1225.43	1255.4
DSC+SamplingPeers+RandomWalk	150	1361.22	1896847.0	1935576.0	63	0.5995046079721894	0.6442591384555016	0.950331020686717	0.48731138969292426	12.53	1361.22	1392.09
DSC+SamplingPeers+RandomWalk	150	1633.464	2275708.0	2322209.0	74	0.6672556964526101	0.7050478201509871	0.9646821834932082	0.5555320414221318	12.53	1633.56	1665.5
