VOTEID	VOTE_DATE_DETAILED	VOTE_DATE	DOSSIERID	PROCEDURE_TITLE	ISSUE_TYPE	PROCEDURE_SUBJECT	COMMITTEE	PROCEDURE_TYPE	PROCEDURE_SUBTYPE	EP_ID	NAME_FULL	COUNTRY	NATIONAL_PARTY	GROUPE_ID	GENDER	BIRTHDATE	GEOSIZE	POP16	POP16_PERCENTAGE	GDP_BILLIONS	LANGUAGES	POLITICAL_SYS	NB_SEATS_IN_EU	CURRENCY	SCHENGEN_MEMBER	SCHENGEN_MEMBER_SINCE	EU_MEMBER_SINCE	USER_VOTE
53677	2015-05-21 12:19:23	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 15/2	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 42.0, 4.0)
53682	2015-05-21 12:19:51	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 18	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(2.0, 40.0, 4.0)
78102	2017-03-16 12:12:56	53.0	56a2dc7fd1d1c53cc5000006	Constitutional, legal and institutional implications of a common security and defence policy: possibilities offered by the Lisbon Treaty	Résolution	['6.10.02 Common security and defence policy; WEU, NATO', '8.30 Treaties in general', '8.50.01 Implementation of EU law']	CJ20	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(1.0, 10.0, 1.0)
53674	2015-05-21 12:19:04	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 13/2	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(5.0, 37.0, 4.0)
53678	2015-05-21 12:19:37	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 17	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(8.0, 36.0, 1.0)
53744	2015-05-21 12:21:12	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	Résolution	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(8.0, 38.0, 0.0)
53684	2015-05-21 12:20:57	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 28	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(3.0, 38.0, 5.0)
53683	2015-05-21 12:20:45	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 20	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 44.0, 1.0)
53668	2015-05-21 12:18:08	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 3/2	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(5.0, 37.0, 4.0)
53681	2015-05-21 12:20:31	45.0	54bdbb0dd1d1c53ee200000a	Financing the Common Security and Defence Policy	§ 19/2	['6.10.02 Common security and defence policy; WEU, NATO', '8.70 Budget of the Union']	CJ15	INI - Own-initiative procedure	Initiative	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(5.0, 36.0, 5.0)
