index	pattern	context	g1	g2	|subgroup(context)|	|subgroup(g1)|	|subgroup(g2)|	#reviews	quality	upperbound	items_details
0	([['2.50.03', '4.70.01', '8.40.07']], [], [])	[['2.50.03 Securities and financial markets, stock exchange, CIUTS, investments', '4.70.01 Structural funds, investment funds in general, programmes', '8.40.07 European Investment Bank']]	[]	[]	11	762	762	5315	0.2	0.22449160248795103	['2017-06-15 12:20:39', '2015-06-24 20:11:28', '2017-06-15 12:21:29', '2015-06-24 20:10:31', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2017-06-15 12:20:50', '2017-06-15 12:21:12']
1	([['4.70.01', '8']], [], [])	[['4.70.01 Structural funds, investment funds in general, programmes', '8 State and evolution of the Union']]	[]	[]	12	762	762	5860	0.2	0.23773684253614386	['2017-06-15 12:20:39', '2015-06-24 20:11:28', '2017-06-15 12:21:29', '2015-06-24 20:10:31', '2015-07-07 13:17:39', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2017-06-15 12:20:50', '2017-06-15 12:21:12']
2	([['2.50.03', '8.40']], [], [])	[['2.50.03 Securities and financial markets, stock exchange, CIUTS, investments', '8.40 Institutions of the Union']]	[]	[]	12	762	762	5829	0.2	0.23683728150029662	['2017-06-15 12:20:39', '2015-06-24 20:11:28', '2017-06-15 12:21:29', '2015-06-24 20:10:31', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2015-03-10 11:35:24', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2017-06-15 12:20:50', '2017-06-15 12:21:12']
3	([['2.40', '3.30.03.04', '3.30.05', '3.30.06', '3.30.20', '3.30.25', '4.60.06']], [], [])	"[['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]]"	[]	[]	13	762	762	6902	0.19	0.22245290069767343	['2015-10-27 13:25:26', '2015-10-27 13:27:54', '2015-10-27 13:27:34', '2015-10-27 13:26:15', '2015-10-27 13:24:31', '2015-10-27 13:24:53', '2015-10-27 13:26:29', '2015-10-27 13:25:43', '2015-10-27 13:27:02', '2015-10-27 13:27:16', '2015-10-27 13:25:59', '2015-10-27 13:26:46', '2015-10-27 13:25:10']
4	([['2', '8.40']], [], [])	[['2 Internal market, single market', '8.40 Institutions of the Union']]	[]	[]	13	762	762	6363	0.18	0.2460047518829857	['2017-06-15 12:20:39', '2015-06-24 20:11:28', '2017-06-15 12:21:29', '2015-06-24 20:10:31', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2015-03-10 11:35:24', '2015-12-15 12:38:48', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2017-06-15 12:20:50', '2017-06-15 12:21:12']
5	([['3.40.16', '6.10.05', '6.20.02', '6.30']], [], [])	[['3.40.16 Raw materials', '6.10.05 Peace preservation, humanitarian and rescue tasks, crisis management', '6.20.02 Export/import control, trade defence', '6.30 Development cooperation']]	[]	[]	30	762	762	15929	0.18	0.20122765744571533	['2015-05-20 12:21:51', '2015-05-20 12:43:14', '2015-05-20 12:35:57', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2015-05-20 12:47:31', '2015-05-20 12:26:11', '2015-05-20 12:35:07', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2017-03-16 12:11:33', '2015-05-20 12:26:57', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2015-05-20 12:41:06', '2015-05-20 12:39:24']
6	([['2.50.03', '4']], [], [])	[['2.50.03 Securities and financial markets, stock exchange, CIUTS, investments', '4 Economic, social and territorial cohesion']]	[]	[]	22	762	762	11121	0.17	0.30012881754623794	['2015-05-19 12:19:31', '2015-05-19 12:19:18', '2017-04-05 12:22:30', '2015-06-24 20:10:31', '2015-05-19 12:20:04', '2015-05-19 12:20:34', '2017-06-15 12:21:29', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2017-06-15 12:20:39', '2015-05-19 12:20:19', '2015-05-19 12:19:01', '2016-04-28 11:39:16', '2015-05-19 12:18:47', '2015-05-19 12:19:49', '2015-05-19 12:18:29', '2017-06-15 12:20:50', '2017-06-15 12:21:12', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2015-06-24 20:11:28']
7	([['6.10.05', '6.30']], [], [])	[['6.10.05 Peace preservation, humanitarian and rescue tasks, crisis management', '6.30 Development cooperation']]	[]	[]	31	762	762	16414	0.17	0.20369679324818446	['2015-05-20 12:21:51', '2015-05-20 12:43:14', '2015-05-20 12:35:57', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2015-05-20 12:47:31', '2015-05-20 12:26:11', '2015-05-20 12:35:07', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2017-03-16 12:11:33', '2015-05-20 12:26:57', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2017-09-14 12:30:56', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2015-05-20 12:41:06', '2015-05-20 12:39:24']
8	([['3.40', '6.20', '6.30']], [], [])	[['3.40 Industrial policy', '6.20 Common commercial policy in general', '6.30 Development cooperation']]	[]	[]	31	762	762	16411	0.17	0.20122765744571533	['2015-05-20 12:21:51', '2015-05-20 12:43:14', '2015-05-20 12:35:57', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2015-05-20 12:47:31', '2015-05-20 12:26:11', '2015-05-20 12:35:07', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2017-03-16 12:11:33', '2015-05-20 12:26:57', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2017-04-27 12:44:09', '2015-05-20 12:41:06', '2015-05-20 12:39:24']
9	([['6.10.02', '8']], [], [])	[['6.10.02 Common security and defence policy; WEU, NATO', '8 State and evolution of the Union']]	[]	[]	10	762	762	4982	0.17	0.1722153618424677	['2015-05-21 12:19:51', '2015-05-21 12:20:45', '2015-05-21 12:21:12', '2015-05-21 12:20:57', '2015-05-21 12:18:08', '2017-03-16 12:12:56', '2015-05-21 12:20:31', '2015-05-21 12:19:23', '2015-05-21 12:19:37', '2015-05-21 12:19:04']
10	([['6.20.02', '6.30']], [], [])	[['6.20.02 Export/import control, trade defence', '6.30 Development cooperation']]	[]	[]	31	762	762	16469	0.17	0.20122765744571533	['2015-05-20 12:21:51', '2015-05-20 12:43:14', '2015-05-20 12:35:57', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2016-03-09 13:12:56', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2015-05-20 12:47:31', '2015-05-20 12:26:11', '2015-05-20 12:35:07', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2017-03-16 12:11:33', '2015-05-20 12:26:57', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2015-05-20 12:41:06', '2015-05-20 12:39:24']
11	([['2.40.02', '2.60', '3.20.02', '3.20.11']], [], [])	[['2.40.02 Public services, of general interest, universal service', '2.60 Competition', '3.20.02 Rail transport: passengers and freight', '3.20.11 Trans-European transport networks']]	[]	[]	15	762	762	8203	0.17	0.23200273597118773	['2016-12-14 12:21:26', '2016-12-14 12:21:43', '2016-12-14 12:21:10', '2016-12-14 12:23:14', '2016-12-14 12:23:00', '2016-12-14 12:24:22', '2016-12-14 12:20:53', '2016-12-14 12:24:08', '2016-12-14 12:23:55', '2016-12-14 12:22:10', '2016-12-14 12:23:28', '2016-12-14 12:20:33', '2016-12-14 12:23:41', '2016-12-14 12:22:46', '2016-12-14 12:21:56']
12	([['2.40', '3.30.25', '4.60.06']], [], [])	"[['2.40 Free movement of services, freedom to provide', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]]"	[]	[]	14	762	762	7405	0.16	0.22891527827494784	['2015-10-27 13:25:26', '2015-10-27 13:27:54', '2015-10-27 13:27:34', '2015-10-27 13:26:15', '2015-10-27 13:24:31', '2017-05-18 12:14:04', '2015-10-27 13:24:53', '2015-10-27 13:26:29', '2015-10-27 13:25:43', '2015-10-27 13:27:02', '2015-10-27 13:27:16', '2015-10-27 13:25:59', '2015-10-27 13:26:46', '2015-10-27 13:25:10']
13	([['6.10', '6.30']], [], [])	[['6.10 Common foreign and security policy (CFSP)', '6.30 Development cooperation']]	[]	[]	34	762	762	17998	0.16	0.2103538653983477	['2015-05-20 12:21:51', '2015-05-20 12:43:14', '2015-05-20 12:35:57', '2017-09-13 12:52:52', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2015-05-20 12:47:31', '2017-09-13 12:53:08', '2015-05-20 12:26:11', '2015-05-20 12:35:07', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2017-03-16 12:11:33', '2015-05-20 12:26:57', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2017-09-14 12:30:56', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2017-10-03 12:41:10', '2015-05-20 12:41:06', '2015-05-20 12:39:24']
14	([['3.40', '6.10']], [], [])	[['3.40 Industrial policy', '6.10 Common foreign and security policy (CFSP)']]	[]	[]	46	762	762	24316	0.16	0.3640952055048466	['2015-05-20 12:21:51', '2015-05-21 12:22:28', '2015-05-20 12:26:11', '2016-06-08 13:07:27', '2015-05-20 12:35:57', '2015-05-21 12:21:41', '2016-06-08 13:07:41', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2016-06-08 13:10:30', '2016-06-08 13:08:47', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2017-03-16 12:11:33', '2015-05-20 12:47:31', '2015-05-21 12:22:13', '2015-05-20 12:43:14', '2016-06-08 13:13:56', '2015-05-20 12:35:07', '2015-05-20 12:26:57', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2016-06-08 13:07:12', '2015-05-21 12:22:54', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2016-06-08 13:12:00', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2016-06-08 13:10:01', '2016-06-08 13:08:30', '2016-06-08 13:08:13', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2016-06-08 13:09:03', '2015-05-20 12:41:06', '2016-06-08 13:11:04', '2015-05-20 12:39:24']
15	([['4.70', '8']], [], [])	[['4.70 Regional policy', '8 State and evolution of the Union']]	[]	[]	13	762	762	6386	0.16	0.23773684253614386	['2017-06-15 12:20:39', '2015-06-24 20:11:28', '2017-06-15 12:21:29', '2015-06-24 20:10:31', '2015-07-07 13:17:39', '2017-06-15 12:21:01', '2017-06-15 12:22:03', '2017-11-14 12:42:18', '2015-06-24 20:12:11', '2017-06-15 12:21:53', '2017-06-15 12:21:38', '2017-06-15 12:20:50', '2017-06-15 12:21:12']
16	([['7.30.05.01']], [], [])	[['7.30.05.01 Europol, CEPOL']]	[]	[]	10	762	762	5246	0.16	0.15653324381592956	['2016-10-04 12:56:39', '2015-10-29 11:46:57', '2016-04-12 12:37:45', '2016-12-14 12:18:11', '2015-12-15 12:41:43', '2016-05-11 12:03:58', '2017-02-14 12:40:28', '2016-11-22 12:05:55', '2017-04-27 11:40:42', '2017-02-14 12:40:42']
17	([['3.50.02.03']], [], [])	[['3.50.02.03 Framework programme and research programme for Coal and Steel']]	[]	[]	10	762	762	5484	0.15	0.15467364447057694	['2016-12-14 12:36:48', '2016-12-14 12:37:55', '2016-12-14 12:39:43', '2016-12-14 12:40:16', '2016-12-14 12:38:07', '2016-12-14 12:39:29', '2016-12-14 12:37:27', '2016-12-14 12:39:56', '2016-12-14 12:36:23', '2016-12-14 12:36:36']
18	([['3', '6.10']], [], [])	[['-', '6.10 Common foreign and security policy (CFSP)']]	[]	[]	47	762	762	24838	0.15	0.3703949301746447	['2015-05-20 12:21:51', '2015-05-21 12:22:28', '2015-05-20 12:26:11', '2016-06-08 13:07:27', '2015-05-20 12:35:57', '2015-05-21 12:21:41', '2016-06-08 13:07:41', '2015-05-20 12:28:33', '2015-05-20 12:22:20', '2015-05-20 12:40:28', '2016-06-08 13:10:30', '2017-01-19 12:21:18', '2016-06-08 13:08:47', '2015-05-20 12:45:25', '2015-05-20 12:21:36', '2017-03-16 12:11:33', '2015-05-20 12:47:31', '2015-05-21 12:22:13', '2015-05-20 12:43:14', '2016-06-08 13:13:56', '2015-05-20 12:35:07', '2015-05-20 12:26:57', '2015-05-20 12:20:10', '2015-05-20 12:33:09', '2016-06-08 13:07:12', '2015-05-21 12:22:54', '2015-05-20 12:46:35', '2015-05-20 12:29:36', '2015-05-20 12:29:58', '2015-05-20 12:40:49', '2015-05-20 12:34:08', '2015-05-20 12:44:20', '2015-05-20 12:46:14', '2015-05-20 12:28:01', '2015-05-20 12:31:23', '2016-06-08 13:12:00', '2015-05-20 12:34:31', '2015-05-20 12:25:54', '2016-06-08 13:10:01', '2016-06-08 13:08:30', '2016-06-08 13:08:13', '2015-05-20 12:25:35', '2015-05-20 12:30:21', '2016-06-08 13:09:03', '2015-05-20 12:41:06', '2016-06-08 13:11:04', '2015-05-20 12:39:24']
