EP_ID	NAME_FULL	COUNTRY	NATIONAL_PARTY	GROUPE_ID	GENDER	BIRTHDATE	GEOSIZE	POP16	POP16_PERCENTAGE	GDP_BILLIONS	LANGUAGES	POLITICAL_SYS	NB_SEATS_IN_EU	CURRENCY	SCHENGEN_MEMBER	SCHENGEN_MEMBER_SINCE	EU_MEMBER_SINCE
0008403	Charles GOERENS	Luxembourg	Parti démocratique	ALDE	M	1952-02-06 00:00:00	2586	576249	0.1	54	['3 French', '2 German']	parliamentary constitutional monarchy	6	Euro	Yes	1995	1958
0010237	Jean-Marie LE PEN	France	Front national	NI	M	1928-06-20 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0010373	Reimer BÖGE	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1951-12-18 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0010383	Karl-Heinz FLORENZ	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1947-10-22 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0010553	Godelieve QUISTHOUDT-ROWOHL	Germany	Christlich Demokratische Union Deutschlands	PPE	F	1947-06-18 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0011646	Bruno GOLLNISCH	France	Front national	NI	M	1950-01-28 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0011792	Michèle ALLIOT-MARIE	France	Union pour un Mouvement Populaire	PPE	F	1946-09-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0011793	Michèle ALLIOT-MARIE	France	Les Républicains	PPE	F	1946-09-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0011853	Viviane REDING	Luxembourg	Parti chrétien social luxembourgeois	PPE	F	1951-04-27 00:00:00	2586	576249	0.1	54	['3 French', '2 German']	parliamentary constitutional monarchy	6	Euro	Yes	1995	1958
0012045	Alain LAMASSOURE	France	Union pour un Mouvement Populaire	PPE	M	1944-02-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0012046	Alain LAMASSOURE	France	Les Républicains	PPE	M	1944-02-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0012047	Alain LAMASSOURE	France	Indépendant	PPE	M	1944-02-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0012633	Elmar BROK	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1946-05-14 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0013186	James NICHOLSON	United Kingdom	Ulster Unionist Party	ECR	M	1945-01-29 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0013513	Miguel ARIAS CAÑETE	Spain	Partido Popular	PPE	M	1950-02-24 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0014035	David MARTIN	United Kingdom	Labour Party	S&D	M	1954-08-26 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0014734	Gérard DEPREZ	Belgium	Mouvement Réformateur	ALDE	M	1943-08-13 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0016542	Emmanouil GLEZOS	Greece	Coalition of the Radical Left	GUE/NGL	M	1922-08-28 00:00:00	131957	10750000	2.1	176	['7 Greek']	parliamentary republic	21	Euro	Yes	2000	1981
0018495	Sylvia-Yvonne KAUFMANN	Germany	Sozialdemokratische Partei Deutschlands	S&D	F	1955-01-23 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0018523	Dieter-Lebrecht KOCH	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1953-01-07 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0018542	Constanze KREHL	Germany	Sozialdemokratische Partei Deutschlands	S&D	F	1956-10-14 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0018926	Carlos COELHO	Portugal	Partido Social Democrata	PPE	M	1960-05-20 00:00:00	92226	10341330	2	185	['17 Portuguese']	semi-presidential republic	21	Euro	Yes	1995	1986
0019092	Bernd LANGE	Germany	Sozialdemokratische Partei Deutschlands	S&D	M	1955-11-14 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019112	Martin SCHULZ	Germany	Sozialdemokratische Partei Deutschlands	S&D	M	1955-12-20 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019132	Evelyne GEBHARDT	Germany	Sozialdemokratische Partei Deutschlands	S&D	F	1954-01-19 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019173	Markus FERBER	Germany	Christlich-Soziale Union in Bayern e.V.	PPE	M	1965-01-15 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019223	Thomas MANN	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1946-01-28 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019273	Peter LIESE	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1965-05-20 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019283	Werner LANGEN	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1949-11-27 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0019463	Annemie NEYTS-UYTTEBROECK	Belgium	Open Vlaamse Liberalen en Democraten	ALDE		1944-06-17 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0019852	Pervenche BERÈS	France	Parti socialiste	S&D	F	1957-03-10 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0020023	José Ignacio SALAFRANCA SÁNCHEZ-NEYRA	Spain	Partido Popular	PPE	M	1955-05-31 00:00:00	505944	46445828	9.1	1114	['21 Spanish']	parliamentary constitutional monarchy	54	Euro	Yes	1995	1986
0020256	Françoise GROSSETÊTE	France	Union pour un Mouvement Populaire	PPE	F	1946-05-17 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0020257	Françoise GROSSETÊTE	France	Les Républicains	PPE	F	1946-05-17 00:00:00	633187	66759950	13.1	2225	['3 French']	semi-presidential republic	74	Euro	Yes	1995	1958
0020542	Heidi HAUTALA	Finland	Vihreä liitto	Verts/ALE	F	1955-11-14 00:00:00	338440	5487308	1.1	214	['10 Finnish', '22 Swedish']	parliamentary republic	13	Euro	Yes	2001	1995
0020732	Richard HOWITT	United Kingdom	Labour Party	S&D	M	1961-04-05 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0021192	Olli REHN	Finland	Suomen Keskusta	ALDE	M	1962-03-31 00:00:00	338440	5487308	1.1	214	['10 Finnish', '22 Swedish']	parliamentary republic	13	Euro	Yes	2001	1995
0021282	Paavo VÄYRYNEN	Finland	Suomen Keskusta	ALDE	M	1946-09-02 00:00:00	338440	5487308	1.1	214	['10 Finnish', '22 Swedish']	parliamentary republic	13	Euro	Yes	2001	1995
0021875	Antonio TAJANI	Italy	Forza Italia	PPE	M	1953-08-04 00:00:00	302073	60665551	11.9	1672	['13 Italian']	parliamentary republic	73	Euro	Yes	1997	1958
0022784	Paul RÜBIG	Austria	Österreichische Volkspartei	PPE	M	1953-05-06 00:00:00	83879	8690076	2.2	349	['2 German']	federal parliamentary republic	18	Euro	Yes	2007	1995
0023092	Richard CORBETT	United Kingdom	Labour Party	S&D	M	1955-01-06 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0023233	Rainer WIELAND	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1957-02-19 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0023272	Linda McAVAN	United Kingdom	Labour Party	S&D	F	1962-12-02 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0023382	Ian HUDGHTON	United Kingdom	Scottish National Party	Verts/ALE	M	1951-09-19 00:00:00	248528	65382556	12.8	2367	['1 English']	parliamentary constitutional monarchy	73	GBP	No	-	1973
0023413	Michael GAHLER	Germany	Christlich Demokratische Union Deutschlands	PPE	M	1960-04-22 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0042463	Othmar KARAS	Austria	Österreichische Volkspartei	PPE	M	1957-12-24 00:00:00	83879	8690076	2.2	349	['2 German']	federal parliamentary republic	18	Euro	Yes	2007	1995
0042532	Frédérique RIES	Belgium	Mouvement Réformateur	ALDE	F	1959-05-14 00:00:00	30528	11311117	1.7	422	['4 Dutch', '3 French', '2 German']	federal parliamentary constitutional monarchy	21	Euro	Yes	1995	1958
0042622	Jo LEINEN	Germany	Sozialdemokratische Partei Deutschlands	S&D	M	1948-04-06 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0042672	Udo BULLMANN	Germany	Sozialdemokratische Partei Deutschlands	S&D	M	1956-06-08 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
0042703	Marit PAULSEN	Sweden	Liberalerna	ALDE	F	1939-11-24 00:00:00	438574	9851017	1.9	462	['22 Swedish']	parliamentary constitutional monarchy	20	SEK	Yes	2001	1995
0042822	Renate SOMMER	Germany	Christlich Demokratische Union Deutschlands	PPE	F	1958-09-10 00:00:00	357376	82175684	16.1	3134	['2 German']	federal parliamentary republic	96	Euro	Yes	1995	1958
