algorithm	nb_attributes_entities	nb_max_items_entities	nb_attributes_individuals	nb_max_items_individuals	nb_patterns	support_of_context_best_pattern	support_of_group_of_indiviudals	size_entities	size_individuals	noise_rate_add_subsuming_parents	noise_rate_negative_examples	sparsity_outcome	precision_jaccard	recall_jaccard	fscore_jaccard	precision_cover	recall_cover	recall_pattern_ML	recall_pattern_cover	nb_pattern_returned
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	0.937037037037037	0.937037037037037	0.937037037037037	0.937037037037037	1.0	0.665	0.7777777777777777	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	1.0	1.0	1.0	1.0	1.0	0.575	0.7	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	1.0	1.0	1.0	1.0	1.0	0.45	0.611111111111111	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	1.0	1.0	1.0	1.0	1.0	0.575	0.711111111111111	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	0.9800000000000001	0.9800000000000001	0.9800000000000001	1.0	0.9800000000000001	0.45	0.6222222222222221	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	0.8733790999237224	0.9263157894736842	0.8990688979803073	0.878411306042885	1.0	0.52	0.6666666666666667	6
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	1.0	1.0	1.0	1.0	1.0	0.725	0.8111111111111111	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	0.8558558558558559	0.927027027027027	0.8900208950739522	0.8558558558558559	1.0	0.5650000000000001	0.7	6
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	1.0	1.0	1.0	1.0	1.0	0.5	0.6444444444444443	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	0.9247967479674797	1.0	0.9609292502639916	0.9261904761904761	1.0	0.55	0.6888888888888889	6
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	1.0	1.0	1.0	1.0	1.0	0.4	0.5666666666666667	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	1.0	1.0	1.0	1.0	1.0	0.65	0.7555555555555553	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	1.0	1.0	1.0	1.0	1.0	0.625	0.7444444444444445	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	1.0	1.0	1.0	1.0	1.0	0.65	0.7555555555555554	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	0.9256410256410256	0.9256410256410256	0.9256410256410255	0.9256410256410256	1.0	0.49000000000000005	0.6444444444444443	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	1.0	1.0	1.0	1.0	0.625	0.7444444444444442	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	1.0	1.0	1.0	1.0	0.725	0.8111111111111111	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	1.0	1.0	1.0	1.0	0.55	0.6888888888888889	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	1.0	1.0	1.0	1.0	1.0	0.525	0.6666666666666666	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	0.925	0.925	0.925	0.925	1.0	0.6900000000000001	0.7888888888888888	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.5273809523809524	0.6222222222222221	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.325	0.4666666666666666	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.3840476190476191	0.5444444444444444	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.5527777777777778	0.6333333333333333	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.06933333333333333	0.15555555555555553	1
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
