algorithm	nb_attributes_entities	nb_max_items_entities	nb_attributes_individuals	nb_max_items_individuals	nb_patterns	support_of_context_best_pattern	support_of_group_of_indiviudals	size_entities	size_individuals	noise_rate_add_subsuming_parents	noise_rate_negative_examples	sparsity_outcome	precision_jaccard	recall_jaccard	fscore_jaccard	precision_cover	recall_cover	recall_pattern_ML	recall_pattern_cover	nb_pattern_returned
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	0.937037037037037	0.937037037037037	0.937037037037037	0.937037037037037	1.0	0.665	0.7777777777777777	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.45515873015873015	0.5222222222222223	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.0	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.3583333333333333	0.4666666666666667	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.47738095238095235	0.5888888888888888	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	0.9800000000000001	0.9800000000000001	0.9800000000000001	1.0	0.9800000000000001	0.45	0.6222222222222221	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.1	0.33	0.8100686498855836	0.6480549199084669	0.7200610221205187	0.8176169590643274	0.75	0.41166666666666674	0.5222222222222223	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	1.0	0.8	0.888888888888889	1.0	0.8	0.5327551020408163	0.6444444444444445	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	0.797027027027027	0.697027027027027	0.7436804278953338	0.827027027027027	0.77	0.5007142857142857	0.6222222222222221	5
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.2	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.24108843537414967	0.38888888888888884	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	0.8871951219512195	0.6	0.7158671586715867	0.8892857142857142	0.6	0.3626984126984127	0.47777777777777775	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.28888888888888886	0.4111111111111111	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.3	0.33	1.0	0.4	0.5714285714285715	1.0	0.4	0.31047619047619046	0.37777777777777777	2
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.28350340136054425	0.4222222222222222	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	1.0	0.4	0.5714285714285715	1.0	0.4	0.2937777777777778	0.3666666666666666	2
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.4	0.33	0.8141025641025641	0.32564102564102565	0.4652014652014652	0.8141025641025641	0.4	0.23206349206349203	0.3222222222222222	2
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	0.2	0.33333333333333337	1.0	0.2	0.15515873015873013	0.18888888888888888	1
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.5147619047619048	0.5888888888888888	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.5	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.36809523809523814	0.4888888888888888	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	1.0	0.6	0.7499999999999999	1.0	0.6	0.41222222222222216	0.5111111111111111	3
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	0.90625	0.725	0.8055555555555555	0.90625	0.8	0.5800000000000001	0.6888888888888889	4
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.6	0.33	1.0	0.2	0.33333333333333337	1.0	0.2	0.11564625850340135	0.2	1
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	1.0	0.2	0.33333333333333337	1.0	0.2	0.10238095238095238	0.14444444444444443	1
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.7	0.33	1.0	0.4	0.5714285714285715	1.0	0.4	0.2855328798185941	0.3555555555555555	2
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.06933333333333333	0.15555555555555553	1
DSC+CLOSED+UB2	3	4	3	4	5	10	10	2000	500	1.0	0.8	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
